episode:239, score:8.0237792, epsilon:0.9833050000005497, global step:38549, avg_qmax:0.06646671382089456, memory:38549
episode:240, score:29.827677440000002, epsilon:0.9831016000005564, global step:38775, avg_qmax:0.06399605093540343, memory:38775
episode:241, score:3.8666815999999997, epsilon:0.9830278000005588, global step:38857, avg_qmax:0.06599214763903036, memory:38857
episode:242, score:6.740970239999999, epsilon:0.9828847000005635, global step:39016, avg_qmax:0.06780877456350147, memory:39016
episode:243, score:4.796012800000002, epsilon:0.9827830000005668, global step:39129, avg_qmax:0.06107255071401596, memory:39129
episode:244, score:6.150181120000001, epsilon:0.9826615000005708, global step:39264, avg_qmax:0.06115141781391921, memory:39264
episode:245, score:6.42068288, epsilon:0.9825229000005754, global step:39418, avg_qmax:0.06555850315210107, memory:39418
episode:246, score:8.0818624, epsilon:0.9823573000005809, global step:39602, avg_qmax:0.062297266462574837, memory:39602
episode:247, score:7.122659840000002, epsilon:0.9822106000005857, global step:39765, avg_qmax:0.0585452718603099, memory:39765
episode:248, score:5.293868799999999, epsilon:0.9820972000005894, global step:39891, avg_qmax:0.06428304799492397, memory:39891
episode:249, score:6.895305600000001, epsilon:0.9819532000005942, global step:40051, avg_qmax:0.06509143891744315, memory:40051
episode:250, score:7.2753356799999995, epsilon:0.9818011000005992, global step:40220, avg_qmax:0.08581755257393481, memory:40220
episode:251, score:6.596592000000001, epsilon:0.9816706000006035, global step:40365, avg_qmax:0.0864989211333209, memory:40365
episode:252, score:7.5010304, epsilon:0.981503200000609, global step:40551, avg_qmax:0.08376704444808344, memory:40551
episode:253, score:6.596592000000002, epsilon:0.9813745000006132, global step:40694, avg_qmax:0.07922635164919432, memory:40694
episode:254, score:6.596592000000001, epsilon:0.9812494000006173, global step:40833, avg_qmax:0.08641808812352393, memory:40833
episode:255, score:5.302166400000002, epsilon:0.981139600000621, global step:40955, avg_qmax:0.07768433076924965, memory:40955
